index,month,year,PDSI,aet,def,ppt,soil,tmax,vpd,pet,gtm,mortality.begin
1,1,1958,-0.699999999999999,0,0,43,18,3,0.26,0,GTM_77,2005
2,2,1958,0.5,0,0,81,18,4.40000000000001,0.27,0,GTM_77,2005
3,3,1958,0.900000000000002,0,0,91,18,0.400000000000006,0.2,0,GTM_77,2005
4,4,1958,1.1,5,0,54,35,5.5,0.31,5,GTM_77,2005
5,5,1958,-0.5,127,0,8,116,15.4,0.65,127,GTM_77,2005
6,6,1958,-1.2,94,73,22,43,20.4,1,167,GTM_77,2005
7,7,1958,-2.1,31,138,19,30,22.9,1.08,169,GTM_77,2005
8,8,1958,-2.3,69,79,65,23,23.4,1.03,147,GTM_77,2005
9,9,1958,-2.2,67,48,67,19,19.1,0.83,116,GTM_77,2005
10,10,1958,-2.3,49,40,49,16,15,0.65,89,GTM_77,2005
11,11,1958,-2.5,10,0,35,17,7.90000000000001,0.4,10,GTM_77,2005
12,12,1958,-3.3,3,0,20,18,7.8,0.4,3,GTM_77,2005
13,1,1959,-3.9,0,0,15,18,4.5,0.29,0,GTM_77,2005
14,2,1959,-3.8,0,0,64,18,2.2,0.24,0,GTM_77,2005
15,3,1959,-4.1,0,0,23,18,3.6,0.26,0,GTM_77,2005
16,4,1959,-3.5,35,0,69,80,8.10000000000001,0.4,35,GTM_77,2005
17,5,1959,-3.5,122,2,17,78,12.9,0.61,125,GTM_77,2005
18,6,1959,-3.6,62,96,25,40,20.4,1.01,158,GTM_77,2005
19,7,1959,-3.7,66,100,57,28,23.5,1.13,166,GTM_77,2005
20,8,1959,-2.8,109,25,108,22,20.7,0.8,134,GTM_77,2005
21,9,1959,-2.6,63,56,62,18,18.4,0.87,119,GTM_77,2005
22,10,1959,-1.5,83,0,122,51,13.1,0.6,83,GTM_77,2005
23,11,1959,-1.7,5,0,21,51,7.5,0.39,5,GTM_77,2005
24,12,1959,-1.2,0,0,109,51,4.90000000000001,0.28,0,GTM_77,2005
25,1,1960,-0.899999999999999,0,0,54,51,-0.199999999999996,0.2,0,GTM_77,2005
26,2,1960,1.3,0,0,76,51,-1.4,0.19,0,GTM_77,2005
27,3,1960,1.1,0,0,60,51,4.2,0.28,0,GTM_77,2005
28,4,1960,0.900000000000002,31,0,53,116,8.3,0.38,31,GTM_77,2005
29,5,1960,0.700000000000003,122,0,28,116,12.7,0.6,122,GTM_77,2005
30,6,1960,-0.299999999999997,100,59,25,43,19.8,0.99,159,GTM_77,2005
31,7,1960,-1.2,47,115,36,30,23.5,1.15,162,GTM_77,2005
32,8,1960,-2.3,28,125,23,23,23.5,1.09,153,GTM_77,2005
33,9,1960,-2.6,48,76,46,19,20.5,0.99,124,GTM_77,2005
34,10,1960,-1.7,81,0,104,36,12.6,0.57,81,GTM_77,2005
35,11,1960,-2.1,18,0,28,36,8.60000000000001,0.44,18,GTM_77,2005
36,12,1960,-2.1,0,0,78,36,1.6,0.24,0,GTM_77,2005
37,1,1961,-2.3,0,0,24,36,2.7,0.23,0,GTM_77,2005
38,2,1961,-2.3,0,0,40,36,3.7,0.27,0,GTM_77,2005
39,3,1961,-0.899999999999999,0,0,141,36,3,0.24,0,GTM_77,2005
40,4,1961,-0.599999999999998,10,0,50,69,6.60000000000001,0.37,10,GTM_77,2005
41,5,1961,-0.899999999999999,127,0,17,116,13.5,0.65,127,GTM_77,2005
42,6,1961,-1.5,93,68,17,43,20.4,1.05,161,GTM_77,2005
43,7,1961,-1.7,66,93,55,30,22.6,1.06,158,GTM_77,2005
44,8,1961,-0.899999999999999,115,20,115,24,21,0.89,134,GTM_77,2005
45,9,1961,0.400000000000002,88,21,88,19,15.5,0.71,109,GTM_77,2005
46,10,1961,1.2,84,4,88,19,13,0.64,89,GTM_77,2005
47,11,1961,0.700000000000003,2,0,38,20,4.8,0.32,2,GTM_77,2005
48,12,1961,-0.599999999999998,0,0,47,20,0,0.17,0,GTM_77,2005
49,1,1962,-1.3,0,0,38,20,0.200000000000003,0.22,0,GTM_77,2005
50,2,1962,0.600000000000001,0,0,86,20,3,0.25,0,GTM_77,2005
51,3,1962,-0.5,0,0,32,20,0.800000000000004,0.21,0,GTM_77,2005
52,4,1962,-1.4,71,0,24,116,9.8,0.45,71,GTM_77,2005
53,5,1962,-1.8,107,16,34,88,12.5,0.57,123,GTM_77,2005
54,6,1962,-2.4,61,94,15,41,18.1,0.93,156,GTM_77,2005
55,7,1962,-2.9,42,111,31,29,21.6,0.99,153,GTM_77,2005
56,8,1962,-3.8,28,120,22,23,22.4,1.01,147,GTM_77,2005
57,9,1962,-3.3,75,38,75,19,18.8,0.85,113,GTM_77,2005
58,10,1962,-2.5,91,0,99,22,14.8,0.69,91,GTM_77,2005
59,11,1962,-2.8,42,0,58,32,9.40000000000001,0.45,42,GTM_77,2005
60,12,1962,-3.1,0,0,47,32,5.90000000000001,0.32,0,GTM_77,2005
61,1,1963,-3.1,0,0,54,32,-1.3,0.19,0,GTM_77,2005
62,2,1963,-2.9,0,0,50,32,4.60000000000001,0.28,0,GTM_77,2005
63,3,1963,-2.7,0,0,55,32,2.90000000000001,0.24,0,GTM_77,2005
64,4,1963,-2.7,15,0,35,63,7.2,0.37,15,GTM_77,2005
65,5,1963,-2.9,134,0,10,116,15.3,0.71,134,GTM_77,2005
66,6,1963,-3.4,88,69,16,43,17.9,0.88,157,GTM_77,2005
67,7,1963,-3.1,91,72,82,30,23.5,1.12,162,GTM_77,2005
68,8,1963,-1.8,130,3,136,29,20.2,0.83,132,GTM_77,2005
69,9,1963,-2,45,69,41,22,20.1,0.88,114,GTM_77,2005
70,10,1963,-2,65,30,64,19,16.7,0.78,94,GTM_77,2005
71,11,1963,-2.5,23,0,34,19,8.5,0.43,23,GTM_77,2005
72,12,1963,-3.2,0,0,25,19,3.6,0.32,0,GTM_77,2005
