index,month,year,PDSI,aet,def,ppt,soil,tmax,vpd,pet,gtm,mortality.begin
1,1,1958,1.2,72,41,76,2,25.3,0.88,113,GTM_91,1983
2,2,1958,1,34,72,36,2,24.7,0.87,106,GTM_91,1983
3,3,1958,0.600000000000001,35,111,37,2,27.3,1.15,146,GTM_91,1983
4,4,1958,-0.399999999999999,35,129,37,2,28.3,1.22,164,GTM_91,1983
5,5,1958,-1.3,11,171,11,2,30.2,1.59,181,GTM_91,1983
6,6,1958,-0.799999999999997,36,124,38,2,30.1,1.73,160,GTM_91,1983
7,7,1958,-0.799999999999997,127,12,133,2,26.7,0.87,139,GTM_91,1983
8,8,1958,-1.1,111,17,117,2,26.3,0.84,128,GTM_91,1983
9,9,1958,-1.8,21,124,22,2,28.8,1.33,145,GTM_91,1983
10,10,1958,-1.7,20,123,21,2,26.9,1.06,142,GTM_91,1983
11,11,1958,-1.7,22,98,23,2,25.5,0.83,120,GTM_91,1983
12,12,1958,-1.7,17,87,17,1,25,0.81,104,GTM_91,1983
13,1,1959,-1.3,37,65,38,1,25.9,0.92,101,GTM_91,1983
14,2,1959,-1.3,36,66,38,1,26,0.99,102,GTM_91,1983
15,3,1959,-1.4,29,105,31,1,26.8,1.11,134,GTM_91,1983
16,4,1959,-1.3,49,110,52,1,28.7,1.28,159,GTM_91,1983
17,5,1959,-1.5,26,148,27,1,29.8,1.52,174,GTM_91,1983
18,6,1959,-1.8,9,151,9,1,31.4,1.88,160,GTM_91,1983
19,7,1959,-1.4,135,0,161,19,26.4,0.88,135,GTM_91,1983
20,8,1959,-1.6,112,17,112,13,25.8,0.8,128,GTM_91,1983
21,9,1959,-0.699999999999999,88,52,90,11,27.5,1.19,141,GTM_91,1983
22,10,1959,-0.699999999999999,22,119,21,9,27,1.07,141,GTM_91,1983
23,11,1959,-0.899999999999999,16,99,15,7,24.8,0.79,115,GTM_91,1983
24,12,1959,-0.799999999999997,27,85,27,7,24.2,0.78,112,GTM_91,1983
25,1,1960,-1,23,94,23,6,24.3,0.86,116,GTM_91,1983
26,2,1960,-0.799999999999997,55,71,57,5,26.1,1,126,GTM_91,1983
27,3,1960,-0.899999999999999,35,105,37,5,26.5,1.04,140,GTM_91,1983
28,4,1960,-1.6,15,144,15,4,27.9,1.22,159,GTM_91,1983
29,5,1960,-0.899999999999999,58,108,61,4,28.4,1.39,166,GTM_91,1983
30,6,1960,-1.2,11,148,12,4,30.6,1.8,159,GTM_91,1983
31,7,1960,-1.4,118,25,124,4,27.3,0.96,142,GTM_91,1983
32,8,1960,-1.4,134,5,141,3,27.7,0.98,139,GTM_91,1983
33,9,1960,-1.5,41,97,43,3,28.2,1.23,137,GTM_91,1983
34,10,1960,-2,1,147,1,3,26.9,1.07,148,GTM_91,1983
35,11,1960,-2.1,15,104,15,3,25.2,0.83,119,GTM_91,1983
36,12,1960,2.6,116,0,163,42,25.2,0.85,116,GTM_91,1983
37,1,1961,4,111,16,98,24,26.5,1,127,GTM_91,1983
38,2,1961,5.1,119,0,140,38,24.9,0.9,119,GTM_91,1983
39,3,1961,5.1,68,82,52,19,27,1.1,151,GTM_91,1983
40,4,1961,5.3,87,67,86,14,27.4,1.16,155,GTM_91,1983
41,5,1961,4.3,20,151,18,11,29.4,1.52,171,GTM_91,1983
42,6,1961,4.1,32,130,32,9,30.4,1.78,162,GTM_91,1983
43,7,1961,5.1,130,0,246,55,25.4,0.84,130,GTM_91,1983
44,8,1961,5.5,128,0,210,55,25.3,0.8,128,GTM_91,1983
45,9,1961,5.6,71,68,38,20,27.6,1.22,139,GTM_91,1983
46,10,1961,5.2,33,114,28,14,26.5,1.07,147,GTM_91,1983
47,11,1961,6.1,94,19,95,11,22.9,0.7,112,GTM_91,1983
48,12,1961,5.5,28,78,27,9,22.5,0.72,106,GTM_91,1983
49,1,1962,4.7,24,97,23,8,24.3,0.86,121,GTM_91,1983
50,2,1962,3.4,3,129,3,7,26.8,1.06,132,GTM_91,1983
51,3,1962,3.7,82,72,86,6,27.6,1.16,154,GTM_91,1983
52,4,1962,3.5,63,102,65,5,27.8,1.23,165,GTM_91,1983
53,5,1962,2.5,13,163,13,5,29.3,1.49,176,GTM_91,1983
54,6,1962,1.9,12,153,12,4,30.5,1.81,165,GTM_91,1983
55,7,1962,1.4,116,26,122,4,27.3,0.97,142,GTM_91,1983
56,8,1962,1.5,127,0,173,41,25.6,0.84,127,GTM_91,1983
57,9,1962,1.6,63,76,44,19,27.3,1.21,140,GTM_91,1983
58,10,1962,1.2,18,132,13,14,26.9,1.13,150,GTM_91,1983
59,11,1962,1.4,46,76,46,11,25,0.82,122,GTM_91,1983
60,12,1962,1.7,49,68,50,9,24.5,0.81,117,GTM_91,1983
